timestamp,endpoint,http_code,time_total
20260322-182724,api,200,0.258418
20260322-182726,api,200,0.244034
20260322-182727,api,200,0.281378
20260322-182728,api,200,0.502050
20260322-182730,api,200,0.317830
20260322-182731,api,200,0.276914
20260322-182732,api,200,0.270135
20260322-182734,api,200,0.265767
20260322-182735,api,200,0.173056
20260322-182736,api,200,0.184404
20260322-182737,api,200,0.268499
20260322-182739,api,200,0.266599
20260322-182740,api,200,0.247246
20260322-182741,api,200,0.261802
20260322-182743,api,200,0.275847
20260322-182744,api,200,0.247727
20260322-182745,api,200,0.251315
20260322-182747,api,200,0.248904
20260322-182748,api,200,0.327973
20260322-182749,api,200,0.332894
20260322-182751,api,200,0.238601
20260322-182752,api,200,0.250929
20260322-182753,api,200,0.298344
20260322-182755,api,200,0.183164
20260322-182756,api,200,0.276095
20260322-182757,api,200,0.251107
20260322-182759,api,200,0.249856
20260322-182800,api,200,0.270871
20260322-182801,api,200,0.273062
20260322-182803,api,200,0.380920
20260322-182804,api,200,0.171328
20260322-182805,api,200,0.180708
20260322-182806,api,200,0.336227
20260322-182808,api,200,0.246435
20260322-182809,api,200,0.307852
20260322-182810,api,200,0.249714
20260322-182812,api,200,0.183354
20260322-182813,api,200,0.292294
20260322-182814,api,200,0.234919
20260322-182816,api,200,0.258886
20260322-182817,api,200,0.257943
20260322-182818,api,200,0.258679
20260322-182819,api,200,0.261178
20260322-182821,api,200,0.188411
20260322-182822,api,200,0.340117
20260322-182823,api,200,0.338079
20260322-182825,api,200,0.251997
20260322-182826,api,200,0.170835
20260322-182827,api,200,0.268084
20260322-182829,api,200,0.238088
20260322-182830,api,200,0.178825
20260322-182831,api,200,0.263653
20260322-182832,api,200,0.257736
20260322-182834,api,200,0.240403
20260322-182835,api,200,0.251850
20260322-182836,api,200,0.283703
20260322-182838,api,200,0.264971
20260322-182839,api,200,0.168858
20260322-182840,api,200,0.313317
20260322-182841,api,200,0.247318
20260322-182843,api,200,0.284681
20260322-182844,api,200,0.171441
20260322-182845,api,200,0.180612
20260322-182847,api,200,0.243603
20260322-182848,api,200,0.291526
20260322-182849,api,200,0.325641
20260322-182851,api,200,0.183149
20260322-182852,api,200,0.261958
20260322-182853,api,200,0.259795
20260322-182855,api,200,0.275726
20260322-182856,api,200,0.246494
20260322-182857,api,200,0.267848
20260322-182859,api,200,0.183443
20260322-182900,api,200,0.242315
20260322-182901,api,200,0.310371
20260322-182902,api,200,0.259543
20260322-182904,api,200,0.198390
20260322-182905,api,200,0.259554
20260322-182906,api,200,0.247523
20260322-182908,api,200,0.185383
20260322-182909,api,200,0.252515
20260322-182910,api,200,0.179066
20260322-182911,api,200,0.313440
20260322-182913,api,200,0.321453
20260322-182914,api,200,0.256171
20260322-182916,api,200,0.263948
20260322-182917,api,200,0.253156
20260322-182918,api,200,0.190468
20260322-182919,api,200,0.177417
20260322-182921,api,200,0.176735
20260322-182922,api,200,0.277316
20260322-182923,api,200,0.234889
20260322-182925,api,200,0.249662
20260322-182926,api,200,0.265003
20260322-182927,api,200,0.253575
20260322-182928,api,200,0.234534
20260322-182930,api,200,0.181260
20260322-182931,api,200,0.270860
20260322-182932,api,200,0.230748
20260322-182934,api,200,0.255933
20260322-182935,api,200,0.239787
20260322-182936,api,200,0.188153
20260322-182937,api,200,0.190229
20260322-182939,api,200,0.322940
20260322-182940,api,200,0.257813
20260322-182941,api,200,0.237082
20260322-182943,api,200,0.262847
20260322-182944,api,200,0.243472
20260322-182945,api,200,0.273456
20260322-182947,api,200,0.257625
20260322-182948,api,200,0.267385
20260322-182949,api,200,0.190070
20260322-182950,api,200,0.242815
20260322-182952,api,200,0.245918
20260322-182953,api,200,0.261260
20260322-182954,api,200,0.346686
20260322-182956,api,200,0.233811
20260322-182957,api,200,0.237065
20260322-182958,api,200,0.249141
20260322-183000,api,200,0.279640
20260322-183001,api,200,0.391802
20260322-183002,api,200,0.353376
20260322-183004,api,200,0.258164
20260322-183005,api,200,0.234933
20260322-183006,api,200,0.236563
20260322-183008,api,200,0.298055
20260322-183009,api,200,0.243895
20260322-183010,api,200,0.262496
20260322-183012,api,200,0.346596
20260322-183013,api,200,0.249908
20260322-183014,api,200,0.178568
20260322-183016,api,200,0.252694
20260322-183017,api,200,0.264759
20260322-183018,api,200,0.160908
20260322-183020,api,200,0.256956
20260322-183021,api,200,0.181557
20260322-183022,api,200,0.266389
20260322-183023,api,200,0.250732
20260322-183025,api,200,0.263555
20260322-183026,api,200,0.231153
20260322-183027,api,200,0.182092
20260322-183029,api,200,0.310824
20260322-183030,api,200,0.263839
20260322-183031,api,200,0.257678
20260322-183033,api,200,0.190350
20260322-183034,api,200,0.187252
20260322-183035,api,200,0.308661
20260322-183036,api,200,0.280480
20260322-183038,api,200,0.260991
20260322-183039,api,200,0.264322
20260322-183040,api,200,0.338307
20260322-183042,api,200,0.237599
20260322-183043,api,200,0.252060
20260322-183044,api,200,0.249745
20260322-183046,api,200,0.347586
20260322-183047,api,200,0.271782
20260322-183048,api,200,0.264567
20260322-183050,api,200,0.246557
20260322-183051,api,200,0.167718
20260322-183052,api,200,0.261735
20260322-183054,api,200,0.253289
20260322-183055,api,200,0.293996
20260322-183056,api,200,0.244663
20260322-183058,api,200,0.260489
20260322-183059,api,200,0.264154
20260322-183100,api,200,0.320637
20260322-183102,api,200,0.233985
20260322-183103,api,200,0.189088
20260322-183104,api,200,0.228905
20260322-183105,api,200,0.174680
20260322-183107,api,200,0.233084
20260322-183108,api,200,0.180912
20260322-183109,api,200,0.253858
20260322-183110,api,200,0.248830
20260322-183112,api,200,0.180893
20260322-183113,api,200,0.182261
20260322-183114,api,200,0.247170
20260322-183115,api,200,0.330933
20260322-183117,api,200,0.255816
20260322-183118,api,200,0.242221
20260322-183119,api,200,0.311846
20260322-183121,api,200,0.331149
20260322-183122,api,200,0.264591
20260322-183123,api,200,0.194644
20260322-183125,api,200,0.163516
20260322-183126,api,200,0.246321
20260322-183127,api,200,0.254669
20260322-183129,api,200,0.276853
20260322-183130,api,200,0.327258
20260322-183131,api,200,0.164534
20260322-183132,api,200,0.242246
20260322-183134,api,200,0.293729
20260322-183135,api,200,0.168395
20260322-183136,api,200,0.197090
20260322-183138,api,200,0.246771
20260322-183139,api,200,0.246483
20260322-183140,api,200,0.168448
20260322-183141,api,200,0.182940
20260322-183143,api,200,0.251471
20260322-183144,api,200,0.163786
20260322-183145,api,200,0.271854
20260322-183146,api,200,0.257884
20260322-183148,api,200,0.179860
20260322-183149,api,200,0.180962
20260322-183150,api,200,0.333868
20260322-183152,api,200,0.185018
20260322-183153,api,200,0.189016
20260322-183154,api,200,0.313193
20260322-183156,api,200,0.237749
20260322-183157,api,200,0.263747
20260322-183158,api,200,0.341629
20260322-183200,api,200,0.211956
20260322-183201,api,200,0.252533
20260322-183202,api,200,0.185305
20260322-183203,api,200,0.176579
20260322-183205,api,200,0.254527
20260322-183206,api,200,0.244905
20260322-183207,api,200,0.334221
20260322-183208,api,200,0.332966
20260322-183210,api,200,0.237734
20260322-183211,api,200,0.192745
20260322-183212,api,200,0.181175
20260322-183214,api,200,0.407262
20260322-183215,api,200,0.276639
20260322-183216,api,200,0.255703
20260322-183218,api,200,0.251555
20260322-183219,api,200,0.354610
20260322-183220,api,200,0.244540
20260322-183222,api,200,0.320922
20260322-183223,api,200,0.182859
20260322-183224,api,200,0.651610
20260322-183226,api,200,0.282403
20260322-183227,api,200,0.230990
20260322-183228,api,200,0.276659
20260322-183230,api,200,0.257405
20260322-183231,api,200,0.174592
20260322-183232,api,200,0.316125
20260322-183234,api,200,0.238102
20260322-183235,api,200,0.237289
20260322-183236,api,200,0.247951
20260322-183238,api,200,0.240573
20260322-183239,api,200,0.362468
20260322-183240,api,200,0.257426
20260322-183241,api,200,0.392965
20260322-183243,api,200,0.176829
20260322-183244,api,200,0.262475
20260322-183245,api,200,0.245487
20260322-183247,api,200,0.332513
20260322-183248,api,200,0.276403
20260322-183249,api,200,0.258632
20260322-183251,api,200,0.181786
20260322-183252,api,200,0.253416
20260322-183253,api,200,0.263062
20260322-183255,api,200,0.276302
20260322-183256,api,200,0.174604
20260322-183257,api,200,0.245149
20260322-183259,api,200,0.246735
